TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;DT_VENC;TITULO_POSFX;CD_INDEXADOR_POSFX;DS_INDEXADOR_POSFX;PR_INDEXADOR_POSFX;PR_CUPOM_POSFX;PR_TAXA_PREFX;TITULO_CETIP;TITULO_GARANTIA;CNPJ_INSTITUICAO_FINANC_COOBR
CLASSES - FIF;36.233.973/0001-18;SANTANDER PREV DINÂMICO RENDA FIXA CRÉDITO PRIVADO - FIF RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;2368.000000;2524917.75;;;PJ;50.746.577/0001-15;COSAN SA INDUST;2028-12-27;S;DI1;DI de um dia;100.000000;1.630871;;S;N;
CLASSES - FIF;36.233.973/0001-18;SANTANDER PREV DINÂMICO RENDA FIXA CRÉDITO PRIVADO - FIF RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;;;;;4750.000000;5097164.02;;;PJ;15.139.629/0001-94;COELBA;2029-06-20;S;DI1;DI de um dia;100.000000;1.547224;;S;N;
CLASSES - FIF;36.517.830/0001-38;KANASTRO FIF - CLASSE DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;135.000000;120110.87;;;PJ;10.753.164/0001-43;ECO SECURITIZAD;2025-12-15;S;DI1;DI de um dia;100.000000;5.904920;;S;N;
CLASSES - FIF;37.267.132/0001-94;SANTANDER PB RICCHEZZA MULTIMERCADO CRÉDITO PRIVADO - FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;S;Para negociação;;;;;565.000000;595960.02;;;PJ;33.000.167/0001-01;PETROBRAS S/A;2030-02-25;S;DI1;DI de um dia;100.000000;1.649999;;S;N;
CLASSES - FIF;37.331.175/0001-91;UNIMED INVESTCOOP ANS II FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;1099.000000;1099644.12;;;PJ;61.695.227/0001-93;ELETROPAULO METROPOLITANA;2028-05-15;S;DI1;DI de um dia;100.000000;1.100000;;S;N;
CLASSES - FIF;37.440.121/0001-64;AUGME PRO VC CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;CCB;N;Para negociação;0.000000;0.00;0.000000;0.00;2.000000;1152913.16;;;PJ;11.581.339/0001-45;BMP CREDITO;2034-12-15;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;13.190427;;S;N;
CLASSES - FIF;37.440.121/0001-64;AUGME PRO VC CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;CCB;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;618055.18;;;PJ;11.581.339/0001-45;BMP CREDITO;2034-12-15;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;13.190144;;S;N;
CLASSES - FIF;37.440.121/0001-64;AUGME PRO VC CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;CCB;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;657633.48;;;PJ;11.581.339/0001-45;BMP CREDITO;2034-12-15;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;13.190340;;S;N;
CLASSES - FIF;37.440.121/0001-64;AUGME PRO VC CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;401562.000000;375743.77;;;PJ;55.512.223/0001-20;SAN VICENTE EMP;2030-12-12;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;9.186642;;S;N;
CLASSES - FIF;37.440.121/0001-64;AUGME PRO VC CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;2339.000000;2354812.11;;;PJ;07.358.108/0001-08;EVEO SA;2030-02-20;S;DI1;DI de um dia;100.000000;6.509854;;S;N;
CLASSES - FIF;37.440.121/0001-64;AUGME PRO VC CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;2739.000000;2577690.14;;;PJ;23.599.885/0001-92;PLUGIFY TECNOLO;2029-08-15;S;DI1;DI de um dia;100.000000;4.499999;;S;N;
CLASSES - FIF;37.440.121/0001-64;AUGME PRO VC CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;2836.000000;2922371.68;;;PJ;09.069.233/0001-15;BRITECH S.A.;2028-10-09;S;DI1;DI de um dia;100.000000;5.499999;;S;N;
CLASSES - FIF;37.440.121/0001-64;AUGME PRO VC CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;3541.000000;3541000.00;3541.000000;3441765.78;;;PJ;23.009.600/0001-16;3L LOCAÇÕES E S;2028-04-29;S;DI1;DI de um dia;100.000000;5.039378;;S;N;
CLASSES - FIF;37.440.121/0001-64;AUGME PRO VC CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;252.000000;108756.11;;;PJ;50.534.928/0001-24;MERCURIO INVEST;2027-06-15;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;12.675230;;S;N;
CLASSES - FIF;37.440.121/0001-64;AUGME PRO VC CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;1793.000000;773808.40;;;PJ;50.534.928/0001-24;MERCURIO INVEST;2027-06-15;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;12.035751;;S;N;
CLASSES - FIF;37.440.121/0001-64;AUGME PRO VC CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;1741.000000;1550386.85;;;PJ;35.237.331/0001-24;MOTTU LOCACAO D;2027-02-14;S;DI1;DI de um dia;100.000000;6.388700;;S;N;
CLASSES - FIF;37.440.121/0001-64;AUGME PRO VC CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;635.000000;565477.10;;;PJ;35.237.331/0001-24;MOTTU LOCACAO D;2027-02-14;S;DI1;DI de um dia;100.000000;6.408959;;S;N;
CLASSES - FIF;37.780.270/0001-72;VERITAS PREMIUM INSTITUCIONAL FUNDO DE INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO LONGO PRAZO;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;360.000000;189480.29;;;PJ;33.000.167/0001-01;PETROLEO BRASILEIRO S A PETROBRAS;2026-01-15;S;DI1;DI de um dia;106.250000;104.454600;;S;N;
CLASSES - FIF;38.060.123/0001-90;CORTESE FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;115.000000;53710.53;;;PJ;01.599.101/0001-93;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2027-12-31;S;DI1;DI de um dia;100.000000;0.000000;;S;N;
CLASSES - FIF;38.060.123/0001-90;CORTESE FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;1.000000;443.62;;;PJ;01.599.101/0001-93;SEQUOIA LOGÍSTICA E TRANSPORTES S.A.;2029-01-15;S;DI1;DI de um dia;100.000000;4.500000;;S;N;
CLASSES - FIF;38.394.200/0001-49;PENJBFO CRÉDITO ESTRUTURADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;95.000000;5571.24;;;PJ;10.753.164/0001-43;ECO SECURITIZAD;2025-12-15;S;DI1;DI de um dia;100.000000;2.750173;;S;N;
CLASSES - FIF;38.394.200/0001-49;PENJBFO CRÉDITO ESTRUTURADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;95.000000;5571.24;;;PJ;10.753.164/0001-43;ECO SECURITIZAD;2025-12-15;S;DI1;DI de um dia;100.000000;3.667474;;S;N;
CLASSES - FIF;38.394.200/0001-49;PENJBFO CRÉDITO ESTRUTURADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;185.000000;10849.25;;;PJ;10.753.164/0001-43;ECO SECURITIZAD;2025-12-15;S;DI1;DI de um dia;100.000000;5.250353;;S;N;
CLASSES - FIF;38.394.200/0001-49;PENJBFO CRÉDITO ESTRUTURADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;414.000000;24278.86;;;PJ;10.753.164/0001-43;ECO SECURITIZAD;2025-12-15;S;DI1;DI de um dia;100.000000;3.732675;;S;N;
CLASSES - FIF;38.394.200/0001-49;PENJBFO CRÉDITO ESTRUTURADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;83.000000;4867.50;;;PJ;10.753.164/0001-43;ECO SECURITIZAD;2025-12-15;S;DI1;DI de um dia;100.000000;5.629121;;S;N;
CLASSES - FIF;38.394.200/0001-49;PENJBFO CRÉDITO ESTRUTURADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;62.000000;55162.03;;;PJ;10.753.164/0001-43;ECO SECURITIZAD;2025-12-15;S;DI1;DI de um dia;100.000000;9.007550;;S;N;
CLASSES - FIF;38.394.200/0001-49;PENJBFO CRÉDITO ESTRUTURADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;24.000000;21353.04;;;PJ;10.753.164/0001-43;ECO SECURITIZAD;2025-12-15;S;DI1;DI de um dia;100.000000;6.414168;;S;N;
CLASSES - FIF;38.394.200/0001-49;PENJBFO CRÉDITO ESTRUTURADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;28.000000;24911.88;;;PJ;10.753.164/0001-43;ECO SECURITIZAD;2025-12-15;S;DI1;DI de um dia;100.000000;9.012574;;S;N;
CLASSES - FIF;38.394.200/0001-49;PENJBFO CRÉDITO ESTRUTURADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;200.000000;204325.93;;;PJ;25.005.683/0001-09;VERTE SECURIZAD;2026-11-26;S;OUT;OUTROS;100.000000;4.000000;;S;N;
CLASSES - FIF;38.394.200/0001-49;PENJBFO CRÉDITO ESTRUTURADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;200.000000;209069.90;;;PJ;25.005.683/0001-09;VERTE SECURIZAD;2026-11-26;S;OUT;OUTROS;100.000000;2.751768;;S;N;
CLASSES - FIF;38.394.200/0001-49;PENJBFO CRÉDITO ESTRUTURADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;66.000000;394227.87;;;PJ;10.753.164/0001-43;ECO SECURITIZAD;2030-11-25;S;OUT;OUTROS;100.000000;4.769563;;S;N;
CLASSES - FIF;38.394.200/0001-49;PENJBFO CRÉDITO ESTRUTURADO FI FINANCEIRO - CI MULT CRED PRIV - RESP LIMITADA;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;39.000000;232952.83;;;PJ;10.753.164/0001-43;ECO SECURITIZAD;2030-11-25;S;OUT;OUTROS;100.000000;4.674651;;S;N;
CLASSES - FIF;38.542.842/0001-48;BNP PARIBAS ANAJÉ CLASSE DE  INVESTIMENTO RENDA FIXA CRÉDITO PRIVADO IS RESPONSABILIDADE LIMITADA;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;223.000000;223130.70;;;PJ;61.695.227/0001-93;ELETROPAULO;2028-05-15;S;DI1;DI de um dia;100.000000;1.100000;;S;N;
CLASSES - FIF;38.653.552/0001-71;VIKINGS CAPITALS FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;150.000000;127154.61;;;PJ;10.753.164/0001-43;ECO SECURITIZADORA DIREITOS CREDITORIOS AGRONEGOCIO SA;2029-02-20;S;DI1;DI de um dia;100.000000;5.000000;;S;N;
CLASSES - FIF;38.653.552/0001-71;VIKINGS CAPITALS FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;100.000000;106995.62;;;PJ;10.753.164/0001-43;ECO SECURITIZADORA DIREITOS CREDITORIOS AGRONEGOCIO SA;2028-12-29;S;DI1;DI de um dia;100.000000;4.000000;;S;N;
CLASSES - FIF;38.653.552/0001-71;VIKINGS CAPITALS FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;200.000000;215682.66;;;PJ;10.753.164/0001-43;ECO SECURITIZADORA DIREITOS CREDITORIOS AGRONEGOCIO SA;2028-06-30;S;DI1;DI de um dia;100.000000;6.000000;;S;N;
CLASSES - FIF;38.653.552/0001-71;VIKINGS CAPITALS FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;250.000000;267108.16;;;PJ;10.753.164/0001-43;ECO SECURITIZADORA DIREITOS CREDITORIOS AGRONEGOCIO SA;2027-12-30;S;DI1;DI de um dia;100.000000;5.000000;;S;N;
CLASSES - FIF;38.653.552/0001-71;VIKINGS CAPITALS FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;40.000000;20670.80;;;PJ;10.753.164/0001-43;ECO SECURITIZADORA DIREITOS CREDITORIOS AGRONEGOCIO SA;2028-05-15;S;DI1;DI de um dia;100.000000;3.000000;;S;N;
CLASSES - FIF;38.653.552/0001-71;VIKINGS CAPITALS FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;100.000000;0.00;;;PJ;08.769.451/0001-08;VIRGO COMPANHIA DE SECURITIZAÇÃO;2026-01-19;S;DI1;DI de um dia;100.000000;5.250000;;S;N;
CLASSES - FIF;38.653.552/0001-71;VIKINGS CAPITALS FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;95.000000;31666.68;;;PJ;10.753.164/0001-43;ECO SECURITIZADORA DIREITOS CREDITORIOS AGRONEGOCIO SA;2026-05-29;S;DI1;DI de um dia;100.000000;4.500000;;S;N;
CLASSES - FIF;38.653.552/0001-71;VIKINGS CAPITALS FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;200.000000;200000.00;;;PJ;10.753.164/0001-43;ECO SECURITIZADORA DIREITOS CREDITORIOS AGRONEGOCIO SA;2026-11-30;S;DI1;DI de um dia;100.000000;7.000000;;S;N;
CLASSES - FIF;38.653.552/0001-71;VIKINGS CAPITALS FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;200.000000;142686.40;;;PJ;10.753.164/0001-43;ECO SECURITIZADORA DIREITOS CREDITORIOS AGRONEGOCIO SA;2028-03-15;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;9.171800;;S;N;
CLASSES - FIF;38.653.552/0001-71;VIKINGS CAPITALS FUNDO DE INVESTIMENTO FINANCEIRO;2025-05-31;Títulos ligados ao agronegócio;CRA;N;Para negociação;;;;;80.000000;46665.76;;;PJ;10.753.164/0001-43;ECO SECURITIZADORA DIREITOS CREDITORIOS AGRONEGOCIO SA;2028-05-15;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;8.641000;;S;N;
CLASSES - FIF;38.653.627/0001-14;GUNNAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EX;2025-05-31;Debêntures;Debênture simples;N;Para negociação;0.000000;0.00;0.000000;0.00;8.000000;159287.73;;;PJ;97.191.902/0001-94;ODERICH;2025-10-15;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;0.000000;;S;N;
CLASSES - FIF;38.653.627/0001-14;GUNNAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EX;2025-05-31;Títulos de Crédito Privado;CCB;N;Para negociação;0.000000;0.00;0.000000;0.00;209.000000;410956.94;;;PJ;35.635.484/0001-20;SUREE;2025-08-17;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;0.000000;;S;N;
CLASSES - FIF;38.653.627/0001-14;GUNNAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EX;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;2080600.000000;2378713.71;;;PJ;41.109.045/0001-86;INNOVACARB INDÚSTRIA E COMÉRCIO S.A.;2025-10-31;N;;;;;27.000000;S;N;
CLASSES - FIF;38.653.627/0001-14;GUNNAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EX;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;1329046.000000;1450210.36;;;PJ;58.422.880/0001-74;B.O.A PARKING TERMINAIS E SERVIÇOS LOGÍSTICOS LTDA;2026-02-14;N;;;;;34.000000;S;N;
CLASSES - FIF;38.653.627/0001-14;GUNNAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EX;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;600000.000000;757087.74;;;PJ;17.213.130/0001-05;ASTRUM LATINA SOLUÇÕES EM TECNOLOGIA LTDA;2026-03-08;N;;;;;27.000000;S;N;
CLASSES - FIF;38.653.627/0001-14;GUNNAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EX;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;806092.000000;1037958.85;;;PJ;46.855.981/0001-50;SW INFRATECH LTDA;2026-05-07;N;;;;;2.000000;S;N;
CLASSES - FIF;38.653.627/0001-14;GUNNAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EX;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;150000.000000;134927.00;;;PJ;36.940.946/0001-85;DEPILAÇÃO LASER LINS LTDA;2026-09-13;N;;;;;27.000000;S;N;
CLASSES - FIF;38.653.627/0001-14;GUNNAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EX;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;2000000.000000;2002642.10;;;PJ;26.227.826/0001-81;PWTECH;2027-02-28;N;;;;;27.000000;S;N;
CLASSES - FIF;38.653.627/0001-14;GUNNAR FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EX;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;3736540.000000;4374460.77;;;PJ;65.033.169/0001-93;CRB ADMINISTRAÇÃO;2027-04-08;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;0.000000;;S;N;
CLASSES - FIF;38.903.617/0001-90;CONGA FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO INVESTIMENTO NO EXTERIOR;2025-05-31;Títulos de Crédito Privado;CCB;N;Para negociação;0.000000;0.00;0.000000;0.00;232.000000;456181.86;;;PJ;35.635.484/0001-20;SUREE;2025-08-17;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;0.000000;;S;N;
CLASSES - FIF;39.254.409/0001-70;ANGÁ PREV EXCELLENCE FIFE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;739.000000;388960.93;;;PJ;33.000.167/0001-01;PETROLEO BRASILEIRO S A PETROBRAS;2026-01-15;S;DI1;DI de um dia;106.250000;104.454600;;S;N;
CLASSES - FIF;39.254.409/0001-70;ANGÁ PREV EXCELLENCE FIFE FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO;2025-05-31;Debêntures;Debênture simples;N;Para negociação;;;;;779.000000;793562.15;;;PJ;50.746.577/0001-15;COSAN S.A.;2028-05-05;S;DI1;DI de um dia;100.000000;1.197600;;S;N;
CLASSES - FIF;39.354.788/0001-70;AUGME PRO TB CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;CCB;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;280382.50;;;PJ;11.581.339/0001-45;BMP CREDITO;2034-12-15;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;13.435614;;S;N;
CLASSES - FIF;39.354.788/0001-70;AUGME PRO TB CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;CCB;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;320219.13;;;PJ;11.581.339/0001-45;BMP CREDITO;2034-12-15;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;13.190427;;S;N;
CLASSES - FIF;39.354.788/0001-70;AUGME PRO TB CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;CCB;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;322612.64;;;PJ;11.581.339/0001-45;BMP CREDITO;2034-12-15;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;13.190144;;S;N;
CLASSES - FIF;39.354.788/0001-70;AUGME PRO TB CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;CCB;N;Para negociação;0.000000;0.00;0.000000;0.00;1.000000;342517.24;;;PJ;11.581.339/0001-45;BMP CREDITO;2034-12-15;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;13.190340;;S;N;
CLASSES - FIF;39.354.788/0001-70;AUGME PRO TB CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;594.000000;598015.56;;;PJ;07.358.108/0001-08;EVEO SA;2030-02-20;S;DI1;DI de um dia;100.000000;6.509854;;S;N;
CLASSES - FIF;39.354.788/0001-70;AUGME PRO TB CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;745.000000;767689.31;;;PJ;09.069.233/0001-15;BRITECH S.A.;2028-10-09;S;DI1;DI de um dia;100.000000;5.499999;;S;N;
CLASSES - FIF;39.354.788/0001-70;AUGME PRO TB CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;1258.000000;1258000.00;1258.000000;1222745.36;;;PJ;23.009.600/0001-16;3L LOCAÇÕES E S;2028-04-29;S;DI1;DI de um dia;100.000000;5.039378;;S;N;
CLASSES - FIF;39.354.788/0001-70;AUGME PRO TB CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;866.000000;373741.25;;;PJ;50.534.928/0001-24;MERCURIO INVEST;2027-06-15;S;IAP;Índice de Preços ao Consumidor Amplo (IPCA/IBGE);100.000000;12.035751;;S;N;
CLASSES - FIF;39.354.788/0001-70;AUGME PRO TB CLASSE DE INVESTIMENTO  MULTIMERCADO CRÉDITO PRIVADO - RESP LIMITADA;2025-05-31;Títulos de Crédito Privado;Nota Promissória/ Commercial Paper/ Export Note;N;Para negociação;0.000000;0.00;0.000000;0.00;710.000000;632265.74;;;PJ;35.237.331/0001-24;MOTTU LOCACAO D;2027-02-14;S;DI1;DI de um dia;100.000000;6.388700;;S;N;
